word,total
problem,917
amazon,828
help,796
phone,693
issue,635
account,610
service,531
work,502
apple,481
says,464
screen,462
tried,461
iphone,434
using,429
even,418
windows,401
customer,397
order,396
can't,395
support,385
find,385
make,385
right,379
sure,378
think,375
update,370
computer,363
able,363
data,356
device,353
kindle,352
store,348
first,343
well,340
page,336
contact,335
email,332
good,330
something,328
card,324
since,321
system,318
button,317
anyone,312
people,308
used,301
http,301
number,297
days,297
much,296
anything,287
power,284
never,282
download,278
said,278
itunes,278
post,277
check,276
click,273
nothing,273
another,270
trying,269
working,269
laptop,259
error,258
last,253
